Epoch 41/4000 (1%) | Time: 00:00:14 | ETA: 16:12:14 | GPS: 17.329631 | blue Avg Loss: -0.079119 | green Avg Loss: -0.078816 | blue Avg Reward: 0.918214 | green Avg Reward: 0.815656 | Games Played: 250
Epoch 42/4000 (1%) | Time: 00:00:14 | ETA: 16:11:00 | GPS: 17.720666 | red Avg Loss: -0.079039 | blue Avg Loss: -0.079569 | red Avg Reward: 0.337903 | blue Avg Reward: 0.927300 | Games Played: 250
Epoch 43/4000 (1%) | Time: 00:00:14 | ETA: 16:10:11 | GPS: 17.429032 | blue Avg Loss: -0.078694 | green Avg Loss: -0.079355 | blue Avg Reward: 1.005833 | green Avg Reward: 0.108561 | Games Played: 250
Epoch 44/4000 (1%) | Time: 00:00:14 | ETA: 16:09:48 | GPS: 17.097468 | green Avg Loss: -0.080010 | red Avg Loss: -0.079056 | green Avg Reward: 1.350273 | red Avg Reward: 0.768035 | Games Played: 250
Epoch 45/4000 (1%) | Time: 00:00:14 | ETA: 16:09:25 | GPS: 17.107215 | blue Avg Loss: -0.078972 | red Avg Loss: -0.079091 | blue Avg Reward: 0.545437 | red Avg Reward: 0.586250 | Games Played: 250
Epoch 46/4000 (1%) | Time: 00:00:15 | ETA: 16:09:37 | GPS: 16.642785 | green Avg Loss: -0.078082 | blue Avg Loss: -0.080933 | green Avg Reward: 1.205207 | blue Avg Reward: 0.793324 | Games Played: 250
Epoch 47/4000 (1%) | Time: 00:00:14 | ETA: 16:09:25 | GPS: 16.957071 | blue Avg Loss: -0.078822 | green Avg Loss: -0.079863 | blue Avg Reward: 0.379467 | green Avg Reward: 0.515945 | Games Played: 250
Epoch 48/4000 (1%) | Time: 00:00:14 | ETA: 16:08:57 | GPS: 17.177686 | blue Avg Loss: -0.079199 | red Avg Loss: -0.080297 | blue Avg Reward: 0.141935 | red Avg Reward: 0.649076 | Games Played: 250
Epoch 49/4000 (1%) | Time: 00:00:14 | ETA: 16:08:49 | GPS: 16.893055 | red Avg Loss: -0.079248 | green Avg Loss: -0.078847 | red Avg Reward: 0.684577 | green Avg Reward: 0.571858 | Games Played: 250
Epoch 50/4000 (1%) | Time: 00:00:14 | ETA: 16:08:40 | GPS: 16.917816 | blue Avg Loss: -0.079787 | red Avg Loss: -0.080368 | blue Avg Reward: 1.032965 | red Avg Reward: 0.866640 | Games Played: 250
Epoch 51/4000 (1%) | Time: 00:00:14 | ETA: 16:07:54 | GPS: 17.462671 | blue Avg Loss: -0.078876 | red Avg Loss: -0.079405 | blue Avg Reward: 0.473810 | red Avg Reward: 0.097391 | Games Played: 250
Epoch 52/4000 (1%) | Time: 00:00:14 | ETA: 16:07:48 | GPS: 16.866553 | green Avg Loss: -0.079006 | red Avg Loss: -0.079482 | green Avg Reward: 0.666515 | red Avg Reward: 0.417000 | Games Played: 250
Epoch 53/4000 (1%) | Time: 00:00:14 | ETA: 16:07:38 | GPS: 16.925956 | red Avg Loss: -0.079257 | green Avg Loss: -0.078781 | red Avg Reward: 0.236501 | green Avg Reward: 0.238855 | Games Played: 250
Epoch 54/4000 (1%) | Time: 00:00:14 | ETA: 16:07:03 | GPS: 17.320515 | blue Avg Loss: -0.078819 | green Avg Loss: -0.080758 | blue Avg Reward: 0.363325 | green Avg Reward: 1.234130 | Games Played: 250
Epoch 55/4000 (1%) | Time: 00:00:14 | ETA: 16:06:54 | GPS: 16.914073 | green Avg Loss: -0.080299 | blue Avg Loss: -0.079042 | green Avg Reward: 0.194028 | blue Avg Reward: 0.118929 | Games Played: 250
Epoch 56/4000 (1%) | Time: 00:00:14 | ETA: 16:06:07 | GPS: 17.548855 | red Avg Loss: -0.078422 | blue Avg Loss: -0.080783 | red Avg Reward: 0.656319 | blue Avg Reward: 0.757374 | Games Played: 250
Epoch 57/4000 (1%) | Time: 00:00:14 | ETA: 16:05:43 | GPS: 17.175306 | green Avg Loss: -0.078221 | red Avg Loss: -0.079513 | green Avg Reward: 0.601958 | red Avg Reward: 0.753154 | Games Played: 250
