Epoch 34/4000 (0%) | Time: 00:00:16 | ETA: 17:41:38 | GPS: 14.844051 | green Avg Loss: -0.080477 | red Avg Loss: -0.149003 | green Avg Reward: 6.882203 | red Avg Reward: 29.877878 | green Games Won: 0 | red Games Won: 2 | Games Played: 250
Epoch 35/4000 (0%) | Time: 00:00:14 | ETA: 17:38:56 | GPS: 16.920151 | red Avg Loss: -0.077793 | green Avg Loss: -0.080068 | red Avg Reward: 0.990723 | green Avg Reward: 1.017062 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 36/4000 (0%) | Time: 00:00:14 | ETA: 17:36:21 | GPS: 16.937825 | blue Avg Loss: -0.079156 | red Avg Loss: -0.079929 | blue Avg Reward: 0.584044 | red Avg Reward: 0.641562 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 37/4000 (0%) | Time: 00:00:15 | ETA: 17:35:28 | GPS: 15.982375 | green Avg Loss: -0.083341 | blue Avg Loss: -0.079247 | green Avg Reward: 2.231158 | blue Avg Reward: 1.888813 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 38/4000 (0%) | Time: 00:00:15 | ETA: 17:33:37 | GPS: 16.590938 | green Avg Loss: -0.078622 | red Avg Loss: -0.079768 | green Avg Reward: 1.702783 | red Avg Reward: 1.443305 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 39/4000 (0%) | Time: 00:00:14 | ETA: 17:30:56 | GPS: 17.200483 | red Avg Loss: -0.080674 | green Avg Loss: -0.079236 | red Avg Reward: 0.907411 | green Avg Reward: 1.726324 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 40/4000 (1%) | Time: 00:00:16 | ETA: 17:30:53 | GPS: 15.582457 | red Avg Loss: -0.087855 | green Avg Loss: -0.079195 | red Avg Reward: 3.134794 | green Avg Reward: 1.768670 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 41/4000 (1%) | Time: 00:00:16 | ETA: 17:31:27 | GPS: 15.200385 | red Avg Loss: -0.080479 | blue Avg Loss: -0.081580 | red Avg Reward: 3.735934 | blue Avg Reward: 3.836184 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 42/4000 (1%) | Time: 00:00:16 | ETA: 17:31:53 | GPS: 15.260880 | blue Avg Loss: -0.080702 | red Avg Loss: -0.091897 | blue Avg Reward: 4.818048 | red Avg Reward: 10.447868 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 43/4000 (1%) | Time: 00:00:14 | ETA: 17:30:03 | GPS: 16.757461 | blue Avg Loss: -0.079043 | green Avg Loss: -0.078945 | blue Avg Reward: 1.597543 | green Avg Reward: 0.694399 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 44/4000 (1%) | Time: 00:00:17 | ETA: 17:31:35 | GPS: 14.602429 | blue Avg Loss: -0.084325 | red Avg Loss: -0.141417 | blue Avg Reward: 7.497283 | red Avg Reward: 58.316551 | blue Games Won: 0 | red Games Won: 5 | Games Played: 250
Epoch 45/4000 (1%) | Time: 00:00:15 | ETA: 17:29:58 | GPS: 16.635818 | blue Avg Loss: -0.079142 | green Avg Loss: -0.080426 | blue Avg Reward: 0.800118 | green Avg Reward: 1.597635 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 46/4000 (1%) | Time: 00:00:14 | ETA: 17:28:04 | GPS: 16.903675 | blue Avg Loss: -0.079099 | green Avg Loss: -0.080786 | blue Avg Reward: 1.246558 | green Avg Reward: 1.061132 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 47/4000 (1%) | Time: 00:00:15 | ETA: 17:27:23 | GPS: 16.024407 | green Avg Loss: -0.079788 | blue Avg Loss: -0.081433 | green Avg Reward: 2.495704 | blue Avg Reward: 1.670977 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 48/4000 (1%) | Time: 00:00:17 | ETA: 17:29:02 | GPS: 14.448090 | blue Avg Loss: -0.077679 | red Avg Loss: -0.184351 | blue Avg Reward: 6.251869 | red Avg Reward: 53.349728 | blue Games Won: 0 | red Games Won: 4 | Games Played: 250
Epoch 49/4000 (1%) | Time: 00:00:15 | ETA: 17:28:29 | GPS: 15.913514 | green Avg Loss: -0.078912 | blue Avg Loss: -0.083213 | green Avg Reward: 1.424176 | blue Avg Reward: 2.315424 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 50/4000 (1%) | Time: 00:00:16 | ETA: 17:28:59 | GPS: 15.154423 | blue Avg Loss: -0.080216 | red Avg Loss: -0.113624 | blue Avg Reward: 2.804017 | red Avg Reward: 17.118320 | blue Games Won: 0 | red Games Won: 1 | Games Played: 250
Epoch 51/4000 (1%) | Time: 00:00:15 | ETA: 17:27:43 | GPS: 16.492525 | green Avg Loss: -0.079158 | blue Avg Loss: -0.079776 | green Avg Reward: 1.346751 | blue Avg Reward: 1.527096 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 52/4000 (1%) | Time: 00:00:15 | ETA: 17:26:44 | GPS: 16.284516 | blue Avg Loss: -0.079976 | green Avg Loss: -0.080075 | blue Avg Reward: 1.698758 | green Avg Reward: 1.832842 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 53/4000 (1%) | Time: 00:00:16 | ETA: 17:26:40 | GPS: 15.558415 | green Avg Loss: -0.082456 | red Avg Loss: -0.084245 | green Avg Reward: 2.424297 | red Avg Reward: 3.021266 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 54/4000 (1%) | Time: 00:00:15 | ETA: 17:26:11 | GPS: 15.883181 | blue Avg Loss: -0.081514 | green Avg Loss: -0.079081 | blue Avg Reward: 2.019126 | green Avg Reward: 1.098969 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 55/4000 (1%) | Time: 00:00:14 | ETA: 17:24:35 | GPS: 16.913609 | blue Avg Loss: -0.078801 | green Avg Loss: -0.080551 | blue Avg Reward: 1.268860 | green Avg Reward: 1.332320 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 56/4000 (1%) | Time: 00:00:16 | ETA: 17:25:05 | GPS: 15.105466 | blue Avg Loss: -0.081457 | red Avg Loss: -0.083624 | blue Avg Reward: 3.016269 | red Avg Reward: 3.049708 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 57/4000 (1%) | Time: 00:00:15 | ETA: 17:24:46 | GPS: 15.770294 | green Avg Loss: -0.080961 | blue Avg Loss: -0.081817 | green Avg Reward: 1.989819 | blue Avg Reward: 3.447608 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 58/4000 (1%) | Time: 00:00:16 | ETA: 17:25:25 | GPS: 14.962302 | blue Avg Loss: -0.084750 | green Avg Loss: -0.085530 | blue Avg Reward: 3.265059 | green Avg Reward: 4.394041 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 59/4000 (1%) | Time: 00:00:16 | ETA: 17:25:56 | GPS: 15.052265 | blue Avg Loss: -0.077279 | green Avg Loss: -0.082395 | blue Avg Reward: 5.559530 | green Avg Reward: 4.742917 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 60/4000 (1%) | Time: 00:00:17 | ETA: 17:27:55 | GPS: 13.902344 | blue Avg Loss: -0.081609 | red Avg Loss: -0.145435 | blue Avg Reward: 6.085692 | red Avg Reward: 29.528887 | blue Games Won: 0 | red Games Won: 2 | Games Played: 250
Epoch 61/4000 (1%) | Time: 00:00:17 | ETA: 17:29:16 | GPS: 14.327878 | blue Avg Loss: -0.080243 | red Avg Loss: -0.253772 | blue Avg Reward: 11.551878 | red Avg Reward: 20.776672 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 62/4000 (1%) | Time: 00:00:17 | ETA: 17:30:07 | GPS: 14.667062 | blue Avg Loss: -0.082845 | green Avg Loss: -0.084085 | blue Avg Reward: 3.355376 | green Avg Reward: 4.322432 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 63/4000 (1%) | Time: 00:00:16 | ETA: 17:30:29 | GPS: 15.050053 | red Avg Loss: -0.078023 | green Avg Loss: -0.084758 | red Avg Reward: 2.845634 | green Avg Reward: 4.473538 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 64/4000 (1%) | Time: 00:00:16 | ETA: 17:30:30 | GPS: 15.349357 | red Avg Loss: -0.077627 | green Avg Loss: -0.083916 | red Avg Reward: 2.187323 | green Avg Reward: 4.313870 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 65/4000 (1%) | Time: 00:00:15 | ETA: 17:30:07 | GPS: 15.736964 | red Avg Loss: -0.079821 | blue Avg Loss: -0.076939 | red Avg Reward: 1.880472 | blue Avg Reward: 2.225984 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 66/4000 (1%) | Time: 00:00:16 | ETA: 17:30:02 | GPS: 15.422223 | red Avg Loss: -0.074126 | green Avg Loss: -0.087161 | red Avg Reward: 2.473044 | green Avg Reward: 3.667448 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 67/4000 (1%) | Time: 00:00:14 | ETA: 17:28:43 | GPS: 16.733151 | blue Avg Loss: -0.081463 | red Avg Loss: -0.079647 | blue Avg Reward: 1.167686 | red Avg Reward: 1.676172 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 68/4000 (1%) | Time: 00:00:16 | ETA: 17:28:36 | GPS: 15.488002 | blue Avg Loss: -0.081370 | red Avg Loss: -0.082334 | blue Avg Reward: 2.345892 | red Avg Reward: 3.188713 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 69/4000 (1%) | Time: 00:00:16 | ETA: 17:28:43 | GPS: 15.234474 | green Avg Loss: -0.084592 | red Avg Loss: -0.084043 | green Avg Reward: 3.957999 | red Avg Reward: 3.615936 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 70/4000 (1%) | Time: 00:00:16 | ETA: 17:28:52 | GPS: 15.185188 | red Avg Loss: -0.078798 | blue Avg Loss: -0.084347 | red Avg Reward: 3.205024 | blue Avg Reward: 3.602303 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 71/4000 (1%) | Time: 00:00:15 | ETA: 17:28:26 | GPS: 15.790465 | green Avg Loss: -0.080818 | blue Avg Loss: -0.082520 | green Avg Reward: 2.532076 | blue Avg Reward: 2.785733 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 72/4000 (1%) | Time: 00:00:16 | ETA: 17:28:21 | GPS: 15.424606 | blue Avg Loss: -0.084364 | red Avg Loss: -0.081841 | blue Avg Reward: 4.045137 | red Avg Reward: 5.131124 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 73/4000 (1%) | Time: 00:00:15 | ETA: 17:27:48 | GPS: 15.931122 | red Avg Loss: -0.078324 | blue Avg Loss: -0.084783 | red Avg Reward: 1.714154 | blue Avg Reward: 2.434398 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 74/4000 (1%) | Time: 00:00:15 | ETA: 17:26:58 | GPS: 16.261856 | red Avg Loss: -0.081133 | green Avg Loss: -0.078822 | red Avg Reward: 3.431997 | green Avg Reward: 1.312589 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 75/4000 (1%) | Time: 00:00:16 | ETA: 17:27:24 | GPS: 14.886000 | red Avg Loss: -0.094451 | green Avg Loss: -0.082951 | red Avg Reward: 3.815178 | green Avg Reward: 5.544329 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 76/4000 (1%) | Time: 00:00:20 | ETA: 17:31:21 | GPS: 11.946511 | red Avg Loss: -0.200151 | blue Avg Loss: -0.089978 | red Avg Reward: 32.681019 | blue Avg Reward: 12.641567 | red Games Won: 1 | blue Games Won: 0 | Games Played: 250
Epoch 77/4000 (1%) | Time: 00:00:19 | ETA: 17:33:59 | GPS: 12.835197 | red Avg Loss: -0.236331 | blue Avg Loss: -0.110182 | red Avg Reward: 32.074593 | blue Avg Reward: 49.743320 | red Games Won: 1 | blue Games Won: 3 | Games Played: 250
Epoch 78/4000 (1%) | Time: 00:00:17 | ETA: 17:34:28 | GPS: 14.685064 | red Avg Loss: -0.347933 | green Avg Loss: -0.081762 | red Avg Reward: 86.425896 | green Avg Reward: 10.004713 | red Games Won: 7 | green Games Won: 0 | Games Played: 250
Epoch 79/4000 (1%) | Time: 00:00:19 | ETA: 17:37:00 | GPS: 12.804304 | green Avg Loss: -0.029643 | blue Avg Loss: -0.065794 | green Avg Reward: 9.298992 | blue Avg Reward: 89.427940 | green Games Won: 0 | blue Games Won: 7 | Games Played: 250
Epoch 80/4000 (2%) | Time: 00:00:18 | ETA: 17:38:57 | GPS: 13.243403 | green Avg Loss: -0.079006 | blue Avg Loss: -0.064999 | green Avg Reward: 10.800170 | blue Avg Reward: 47.178715 | green Games Won: 0 | blue Games Won: 2 | Games Played: 250
Epoch 81/4000 (2%) | Time: 00:00:16 | ETA: 17:38:49 | GPS: 15.252447 | blue Avg Loss: -0.072536 | green Avg Loss: -0.082950 | blue Avg Reward: 2.739695 | green Avg Reward: 3.118754 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
