Epoch 47/40000 (0%) | Time: 00:00:06 | ETA: 75:56:58 | GPS: 41.336715 | green Avg Loss: -0.315264 | Original AI Avg Loss: 0.000000 | green Avg Reward: 32.935848 | Original AI Avg Reward: 0.000000 | green Games Won: 1 | Original AI Games Won: 227 | Games Played: 250
Epoch 48/40000 (0%) | Time: 00:00:06 | ETA: 75:46:37 | GPS: 40.941441 | blue Avg Loss: -0.327992 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 37.955643 | Original AI Avg Reward: 0.000000 | blue Games Won: 2 | Original AI Games Won: 212 | Games Played: 250
Epoch 49/40000 (0%) | Time: 00:00:06 | ETA: 75:37:53 | GPS: 40.368665 | green Avg Loss: -0.272737 | Original AI Avg Loss: 0.000000 | green Avg Reward: 40.652138 | Original AI Avg Reward: 0.000000 | green Games Won: 3 | Original AI Games Won: 219 | Games Played: 250
Epoch 50/40000 (0%) | Time: 00:00:06 | ETA: 75:29:52 | GPS: 40.179176 | blue Avg Loss: -0.290276 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 38.695885 | Original AI Avg Reward: 0.000000 | blue Games Won: 2 | Original AI Games Won: 210 | Games Played: 250
Epoch 51/40000 (0%) | Time: 00:00:06 | ETA: 75:19:39 | GPS: 41.467632 | red Avg Loss: -0.258003 | Original AI Avg Loss: 0.000000 | red Avg Reward: 40.049156 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 217 | Games Played: 250
Epoch 52/40000 (0%) | Time: 00:00:06 | ETA: 75:14:54 | GPS: 38.897464 | blue Avg Loss: -0.309783 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 33.258507 | Original AI Avg Reward: 0.000000 | blue Games Won: 1 | Original AI Games Won: 214 | Games Played: 250
Epoch 53/40000 (0%) | Time: 00:00:05 | ETA: 74:58:27 | GPS: 45.614951 | green Avg Loss: -0.222550 | Original AI Avg Loss: 0.000000 | green Avg Reward: 34.494328 | Original AI Avg Reward: 0.000000 | green Games Won: 1 | Original AI Games Won: 213 | Games Played: 250
Epoch 54/40000 (0%) | Time: 00:00:05 | ETA: 74:47:27 | GPS: 42.566443 | blue Avg Loss: -0.313968 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 53.637794 | Original AI Avg Reward: 0.000000 | blue Games Won: 6 | Original AI Games Won: 214 | Games Played: 250
Epoch 55/40000 (0%) | Time: 00:00:05 | ETA: 74:33:21 | GPS: 44.765309 | red Avg Loss: -0.330333 | Original AI Avg Loss: 0.000000 | red Avg Reward: 33.482334 | Original AI Avg Reward: 0.000000 | red Games Won: 0 | Original AI Games Won: 210 | Games Played: 250
Epoch 56/40000 (0%) | Time: 00:00:06 | ETA: 74:27:50 | GPS: 39.909062 | blue Avg Loss: -0.279462 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 50.367176 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 200 | Games Played: 250
